index,Sek_1,Sek_2,Sek_3,Sek_4,Sek_5,Sek_6,Sek_7,Sek_8,Sek_9,Sek_10,Sek_11,Sek_12,Sek_13,Sek_14,Sek_15,Sek_16,Sek_17,Sek_18,Sek_19,Sek_20,Sek_21,Sek_22,Sek_23,Sek_24,Sek_25,Sek_26,Sek_27,Sek_28,Sek_29,Sek_30,Sek_31,Sek_32,Sek_33,Sek_34,Sek_35,Sek_36,Sek_37,Sek_38,Sek_39,Sek_40,Sek_41,Sek_42,Sek_43,Sek_44,Sek_45,Sek_46,Sek_47,Sek_48,Sek_49,Sek_50,Sek_51,Sek_52,Sek_53,Sek_54,Sek_55,Sek_56,Sek_57,Sek_58,Sek_59,Sek_60,Sek_61,Sek_62,Sek_63,Sek_64,Toplam Ara Tüketim,Hanehalkı,Devlet,Yatırım,İhracat,Toplam Kullanım
Urun_21,30.36,517.77,0.05,96.90,9.49,4.06,0.03,0.00,1.50,0.00,0.09,0.00,55.08,14.12,35.73,4.21,2084.19,645.67,6862.39,13656.74,296820.72,13419.26,180659.52,4.90,37.30,0.46,182.60,17716.66,4981.59,0.00,62547.58,2997.76,10504.48,3.08,0.00,0.59,0.00,0.00,0.00,89601.83,0.00,0.00,0.00,1523.90,1884.64,0.00,0.20,0.00,0.00,0.00,5.96,0.00,0.00,0.00,47950.65,66.12,0.00,3.94,0.00,107.73,26.68,1900.46,0.00,0.00,756967.00,490605.36,0.00,2220808.33,2852657.97,6321038.67
Urun_22,42052.81,476.23,1113.79,1749.91,3693.75,106479.62,2035.62,1608.63,1094.06,109.13,2470.70,2312.03,5702.96,3332.68,1253.26,19432.41,5298.46,14741.78,52688.25,7471.17,25515.84,2546923.38,59819.82,45.08,2206.35,3341.20,785875.96,3139.75,7635.63,68517.96,6230.55,105.15,0.00,356.24,594.86,4825.55,1149.86,963.74,153.74,227.40,4338.59,324.15,2393.41,12673.06,15093.15,671.60,7277.57,3513.34,352.41,10939.48,187.96,0.00,1629.21,17009.98,144303.46,63929.28,2409306.56,20389.92,14952.35,39075.47,7330.76,33725.15,123102.45,0.00,6725264.61,16290481.04,43031.63,10098967.14,7299701.03,40457445.46
Urun_23,33803.61,979.88,189273.32,468453.58,677414.40,722673.48,75176.96,117651.20,45304.86,87128.40,101739.09,43286.88,426190.00,543559.33,296869.08,291530.84,62212.14,129317.36,227044.82,249636.21,32493.61,117962.79,63077.71,1150.14,63514.13,55717.81,572608.83,60166.77,387460.42,278955.49,208809.65,117877.28,323515.60,176772.08,2127.91,294176.55,6265.16,19521.60,153068.04,33953.24,316049.81,20669.48,44247.25,72321.36,11668.95,29274.64,15339.07,10781.54,26608.95,3212.94,5613.22,161.84,1794.31,68790.29,42588.22,90580.10,587297.52,18208.84,21776.90,29940.19,854.72,9019.40,3681.88,0.00,9188921.63,358811.26,0.00,5274606.31,97503.07,14919842.28
Urun_24,1017746.11,14175.00,5676.38,866318.46,1662663.77,3057079.17,372728.71,353582.62,184854.40,32710.20,708198.50,147923.77,1158707.95,2485682.78,4461487.74,736126.93,51902.05,375493.80,463395.01,533367.10,63452.57,259285.67,97229.71,59571283.42,929223.56,153281.50,630844.65,272940.44,903852.63,3141263.28,391662.66,20224.17,12563.91,267828.10,45932.04,1957507.45,31664.68,141484.22,506784.03,62542.18,521111.15,15704.63,56886.82,2209268.61,187834.43,251165.26,142641.63,18823.38,97114.25,27610.99,14188.56,9778.88,59815.28,88455.69,2389565.04,1532452.36,1327091.90,82477.36,106675.92,276069.18,109445.75,86609.59,146329.06,0.00,97907787.05,23579099.69,0.00,0.00,342073.65,121828960.39
Urun_25,528558.55,31737.09,608.24,6141.24,152171.01,95479.44,13051.13,147428.55,10776.18,10809.12,57892.39,3755.68,40241.96,51785.91,31754.60,54179.97,3055.46,19312.26,24543.78,20167.06,4015.41,26514.73,3110.63,13651.49,87358.62,67505.70,159588.99,41135.32,147764.48,213674.04,29474.82,1800.92,277.66,17098.32,3419.00,259106.12,2247.92,3457.13,21665.50,4218.55,44336.70,9160.34,6295.47,221508.36,192829.62,14266.19,7886.71,2278.57,1828.14,2147.64,1299.59,153.31,1531.14,8772.11,472025.20,308564.17,315639.65,24533.43,39771.85,73688.31,17978.75,10558.40,49399.20,0.00,4236987.80,5841386.79,1016992.55,0.00,0.00,11095367.15
Urun_26,0.00,0.00,0.00,117.93,1608.55,67100.65,0.00,182650.17,989.36,4171.24,42545.80,4611.65,68304.39,40861.51,11673968.15,46501.22,36254.38,65448.44,16834.28,36760.22,108.30,9012.76,7728.87,0.00,24473.48,2045847.04,119.48,0.00,32724.86,217.94,2692.31,0.00,0.00,4242.11,0.00,71729.84,0.00,0.00,0.00,0.00,0.00,0.00,9924.97,129603.48,160283.23,0.00,30.86,5.18,0.00,0.00,0.00,0.00,0.00,608.21,0.00,0.00,103042.17,0.00,0.00,0.00,0.00,0.00,5779.67,0.00,14896902.71,559419.00,5841494.96,-182825.88,681462.33,21796453.12
Urun_27,353275.45,19322.07,8886.06,88990.77,338757.28,204881.47,70831.25,22379.61,31625.93,4281.08,118590.25,8823.58,95831.95,114779.38,256457.30,173105.46,20519.66,52563.15,94192.94,55550.97,50279.51,153670.06,58325.28,408072.02,343958.96,1642358.79,46550311.05,132951.01,804458.95,1958886.83,373474.94,18902.54,5773.32,24852.67,28688.61,456432.98,30623.38,54317.97,387933.03,21721.35,95038.45,36850.67,60038.29,1445069.11,1718190.26,103359.27,447196.83,17195.79,43839.81,81340.25,4043.12,13741.05,74675.30,127022.43,4450467.27,372351.61,345249.36,91246.52,104860.97,680486.85,29223.34,133385.81,20636.42,0.00,66135147.60,1973241.49,5381.81,227256325.25,2469165.00,297839261.15
Urun_28,118509.28,43388.20,4.04,185029.36,275421.64,203275.34,52223.94,38895.94,18118.04,1696.24,70447.09,17056.68,230600.52,376657.55,53247.50,112609.37,12825.48,105140.61,335728.99,2527552.16,49860.84,60465.46,20391.14,60400.83,32941.14,150249.11,1339389.39,996614.00,1249492.91,707656.08,3898769.84,21241.67,15847.38,185478.40,145492.32,194527.79,17976.65,8314.57,24350.56,18525.92,235488.18,23893.22,36732.86,20059.98,455.95,67059.27,103839.11,6608.48,30732.73,5240.99,186577.38,1685.50,12314.37,85034.34,700098.71,48591.14,98207.88,21609.73,8713.15,13375.88,48537.69,41109.85,10933.07,0.00,15783313.41,11754993.98,0.00,4644030.55,0.00,32182337.94
Urun_29,4488519.06,54705.70,73358.98,647212.27,8110419.79,5934898.40,474611.74,591351.11,254759.28,648863.13,1315399.48,331505.69,1424950.62,1759811.28,2256524.73,1557530.29,594873.59,2116386.32,1450814.47,2395278.95,216975.68,2412596.14,443194.53,512190.68,60868.68,220208.29,9618762.58,621664.43,1647112.62,1664678.98,5349961.83,316575.47,1286854.32,305035.66,115039.74,2943829.19,52342.69,51717.83,234808.19,65026.07,108068.30,31692.97,33116.69,748499.97,835594.19,151826.45,132220.48,24485.22,103534.23,77354.98,53688.53,7367.82,120980.15,538303.29,1729802.51,305885.47,1163113.71,75872.03,41853.21,132778.25,93383.83,229532.18,531133.05,0.00,71891305.99,20366257.79,1679375.32,18122602.42,8023416.64,120082958.16
Urun_30,1347369.39,8748.22,20544.95,213818.15,2577429.01,1963069.69,163089.29,197061.49,85838.99,223880.67,439207.06,112472.75,473149.18,597215.91,809038.68,545882.05,197196.58,736987.48,485978.56,591385.27,70886.45,816145.03,151743.05,173712.17,20150.08,73194.35,3328548.74,131229.77,498416.24,497605.51,1672217.44,102562.98,416553.81,99021.43,37083.70,921000.16,17722.67,16530.81,76093.79,21837.60,35363.43,9990.94,10683.99,253286.47,283467.91,49181.98,43491.09,7998.48,33404.91,25401.73,17264.29,2380.34,39664.82,172701.72,556624.23,97892.69,376418.19,23954.33,13442.11,41300.62,28921.54,75016.26,170623.83,0.00,23300095.03,103252956.55,3044457.74,6781623.78,0.00,136379133.10
Urun_31,2990487.34,63254.11,18619.97,1406160.34,5926845.16,2769382.62,324127.14,754822.78,242356.13,681523.78,1155591.09,215970.81,1166528.43,1770812.61,3881418.84,1686634.89,224263.08,1316497.77,1317910.89,1981946.08,161960.61,1043867.05,322686.22,427883.76,37192.13,530199.43,5890055.74,622291.43,6326588.90,3153950.91,32542016.29,82744.75,219811.66,633201.29,622227.58,1177899.21,179636.36,82934.76,194826.19,63584.19,93704.18,18939.38,67413.00,307256.46,331172.61,151179.59,176529.81,14825.46,739797.00,84616.62,73858.12,55245.02,335077.67,308182.85,2409634.16,1906374.74,570551.99,35134.87,106123.83,75183.64,74176.26,156412.49,339808.87,0.00,92641910.95,79900691.05,563281.48,5945854.71,19129783.59,198181521.79
Urun_32,176128.33,1319.12,4229.38,78389.01,222835.58,148940.86,11074.79,28603.51,3401.20,255058.99,259096.52,33498.08,249778.52,130616.25,530130.50,176563.24,8349.28,86038.06,80957.63,122548.78,33776.64,38603.90,42859.26,88264.75,2964.60,12970.37,262030.87,19705.86,1533499.95,115038.83,1407844.82,1536295.45,293436.17,1150863.58,6130.83,30824.04,414.38,679.12,1760.07,1495.23,1077.16,1188.11,765.25,17943.23,12933.66,11648.82,3614.33,716.33,298157.41,1665.95,2500.77,201.57,5321.96,8330.86,140117.89,9764.29,7951.90,1474.15,986.08,240615.48,6890.89,3589.32,9150.97,0.00,9973622.74,1396130.79,4022.02,290944.33,7125646.87,18790366.75
Urun_33,3216.45,7893.68,5154.52,8621.06,13034.39,25691.79,3361.84,3172.22,276.11,95.51,14776.37,16129.23,9283.98,5055.41,3132.23,14592.33,1370.77,35555.30,16222.54,19796.56,8557.39,5901.87,6326.34,3108.17,18.17,297.13,16846.72,22360.36,156379.33,26913.72,190243.11,15345.45,1264397.90,22013.04,132147.50,3103.19,1249.76,10606.83,3386.77,15540.18,175450.13,5188.83,1464.36,8907.28,18.81,60374.96,30110.21,3456.71,13880.90,1607.72,82.52,550.53,1081958.75,53291.02,353679.41,34749.86,41166.62,2.58,2503.99,39833.91,61091.65,903.26,90.50,0.00,4081539.70,13974886.30,24.09,79188.43,4224135.05,22359773.56
Urun_34,14561.57,18851.66,52200.30,194575.35,669212.41,262874.97,53362.79,87670.28,39205.99,126344.85,531515.05,36472.65,182403.31,125819.17,180288.91,107384.67,14545.26,139414.16,55233.32,101255.98,35018.51,42627.42,15714.52,18641.22,289.52,110998.73,378349.58,260497.11,2872634.00,543612.51,5341163.46,2739386.60,1549656.22,3272178.22,251046.15,30083.43,3547.94,4114.52,15442.70,9558.90,120579.52,9724.52,282.10,60110.74,54576.02,15506.12,4293.51,443.14,1275.75,7554.77,6186.26,1534.55,437508.04,37362.01,241292.92,2029.29,10332.19,77.35,18252.06,18641.26,35093.65,46023.82,67942.64,0.00,21684376.18,481585.48,0.00,0.00,3987372.57,26153334.23
Urun_35,32.36,3864.70,0.00,14502.83,68906.50,179125.86,8213.72,13155.23,26227.34,2423.94,38394.04,11850.61,43759.69,31225.96,26945.06,44578.79,12100.63,41070.63,45824.19,12632.03,5645.29,73388.45,15696.23,17286.39,824.56,11828.50,86949.04,124543.58,977541.49,1273743.47,248943.89,6481.92,7744.35,95332.61,273857.16,30267.02,67904.04,11339.72,261195.68,22960.55,211506.92,29659.68,47488.53,7665.86,1883.88,94984.41,29095.48,748.19,16952.70,41821.11,33037.64,9950.07,118415.44,60589.19,147289.99,56453.35,17890.21,1475.04,3070.08,15608.07,46010.15,42716.46,42631.20,0.00,5315251.70,2051405.76,0.00,0.00,142254.02,7508911.48
Urun_36,520.45,16537.10,3422.13,59683.63,198813.48,207517.99,22426.67,38162.18,29096.46,22187.23,73619.42,50507.10,75945.74,81183.34,113714.76,137828.46,13517.44,135719.08,128386.44,85437.57,35497.07,65647.28,54133.71,35296.09,1042.17,65176.79,359940.89,160989.08,1222680.32,609386.64,311355.37,5039.60,92758.53,107459.82,34405.46,667345.97,30074.02,51199.18,90634.81,101601.76,333602.73,57742.76,62235.99,51405.63,8661.15,157840.67,147193.87,25903.23,65788.97,25012.10,3650.80,12724.85,4026579.82,331398.54,593510.31,331027.03,600737.25,64973.38,60824.57,93355.89,158970.11,36792.97,33984.86,0.00,12879808.71,70903498.57,0.00,0.00,1638662.08,85421969.35
Urun_37,311.24,498.06,0.00,4373.33,71484.81,82544.99,5927.31,28568.82,12504.44,2389.21,32639.93,3908.31,12268.73,21663.58,4896.41,24489.02,21364.40,65621.50,33792.22,23296.47,3169.24,42339.97,757.81,3938.80,1566.91,1190.54,42619.88,170306.20,316353.91,394128.38,15429.98,4731.57,4872.64,31304.91,16699.62,53668.68,181302.41,32326.66,125828.73,81152.62,124101.60,26986.94,66060.54,26854.14,0.00,38610.11,24733.27,742.00,819128.25,12895.93,2222.72,4774.48,47347.31,18026.00,205416.13,307834.53,28163.50,5233.54,16706.24,9185.16,17704.92,613.95,3518.08,0.00,3783091.60,3957456.79,366966.91,-303400.61,192454.99,7996569.68
Urun_38,0.90,3.51,0.24,959.44,160084.35,16570.78,342.34,71267.91,9781.63,8839.32,80374.97,5038.84,12126.34,21475.21,20592.06,13577.08,33768.78,140970.02,17006.80,32634.54,1453.97,9902.38,2124.46,2668.78,2.02,466.20,12673.22,19442.51,296393.13,205219.63,5211.75,448.76,586.24,2078.42,13380.56,49826.14,115866.93,2303434.85,354417.00,60226.32,120561.21,13901.71,15295.31,2620.58,0.54,21657.03,1960.71,21.80,2663926.79,1316.47,1902.66,1425.83,17561.02,27143.19,50512.85,10402.85,14565.35,433.54,36987.74,6099.11,33946.18,1018.83,48.42,0.00,7144548.07,808784.32,1485002.56,0.00,52662.31,9490997.25
Urun_39,118773.65,22402.55,7981.22,20161.14,118086.75,191107.75,11056.88,23629.18,26785.35,4612.85,44958.89,17822.92,53893.48,46478.30,27982.83,71023.53,9295.53,39299.31,79571.53,45908.37,6956.16,57593.21,12576.84,27900.75,8335.38,22589.37,247046.05,199182.14,814867.15,810784.25,234278.91,26488.49,20414.30,63142.43,36265.81,205387.70,60690.65,46886.78,4565519.50,147006.03,835223.93,67684.40,108211.94,53756.71,14048.62,226825.26,50097.95,3704.30,82612.81,22171.81,6499.40,13929.00,46598.63,139381.51,782022.97,125794.85,210683.64,9826.28,29663.81,46936.58,134117.11,51814.48,177468.32,0.00,11833818.24,20744009.30,0.00,0.00,94607.72,32672435.26
Urun_40,6921.93,766.63,0.00,91433.99,353182.56,255657.20,34401.62,62227.08,24244.59,32067.98,156240.62,24436.57,151498.71,97484.98,288361.14,96457.31,18735.00,87981.60,68449.49,137641.92,25863.23,108814.16,60343.92,381462.75,22717.31,188988.18,200446.91,106065.31,887235.23,1605188.80,392085.43,60305.37,17437.91,70647.59,24856.40,145078.90,130847.60,72625.80,269761.63,619644.47,802127.68,78273.23,38376.46,21770.18,0.00,206064.25,21463.92,7666.73,160857.79,36439.60,14842.87,16918.81,475811.01,58944.81,101073.22,55848.77,1573048.64,13096.33,36727.39,16507.32,16278.12,103350.15,377512.01,0.00,11611607.07,0.00,0.00,6819147.92,32943.54,18463698.53
Urun_41,254144.72,9797.55,3358.89,225533.12,1103830.92,1235657.91,91948.92,132517.56,80014.06,236303.39,311180.32,92482.72,331392.98,439221.13,722476.51,354220.75,98207.04,360148.89,318830.66,519470.03,75371.54,366261.49,130072.15,1814057.86,45255.96,154326.13,2101734.78,376072.11,2184807.98,1886684.11,2004129.43,136126.63,320027.43,278555.01,54626.38,552380.51,42240.97,56804.01,378174.64,82777.98,4888382.64,658664.44,212505.75,870153.65,1007968.18,153688.16,144825.33,7358.03,140452.91,52134.79,62948.09,19615.29,267099.04,195758.70,630162.91,404788.23,461387.43,27239.98,77269.47,314904.87,303772.52,43482.02,63206.06,0.00,30968993.64,22570532.27,0.00,0.00,1525130.05,55064655.96
Urun_42,35657.75,148.57,5499.86,67190.19,147317.38,122406.01,19886.13,33117.89,16961.02,24231.41,66508.66,18907.25,57036.37,113985.18,109790.23,73003.38,13054.60,81272.06,80404.24,61988.82,24963.28,35156.97,10558.68,333571.23,4167.48,27738.31,376574.67,175231.91,407005.40,255606.79,467181.50,51261.85,83975.69,76865.63,22744.51,92751.14,11541.82,11380.28,81003.88,19041.74,116925.64,1124647.47,20118.72,56443.31,46862.79,49696.87,23308.79,1992.22,7842.58,579.93,55087.31,2656.77,4472.07,32564.10,112290.67,36808.82,85277.95,3516.74,14905.99,21347.45,2226.91,19599.18,5806.10,0.00,5561668.15,3810217.18,0.00,0.00,1248605.18,10620490.51
Urun_43,0.00,0.00,0.00,37438.50,175305.22,47647.38,10121.08,17049.51,2025.35,2296.86,59586.56,3813.87,28712.13,54415.87,28688.44,28236.98,628.60,326491.05,31559.06,1893.72,4473.70,64620.15,1587.61,35854.69,2681.22,5554.40,76900.88,53861.59,376936.50,157885.19,64923.98,8589.81,143659.81,37801.86,8282.49,20632.23,18899.54,2716.66,60946.62,29995.39,206380.21,2731470.67,192512.76,71861.95,0.00,68296.00,9108.27,0.00,2374.43,10445.09,1683.15,1825.11,32000.83,11139.00,55027.33,93909.81,100475.59,1270.52,3741.01,13637.32,0.00,3519.88,21924.24,0.00,5665317.65,1788794.51,0.00,0.00,306407.97,7760520.13
Urun_44,69765.05,346.06,4017.58,137240.91,675700.85,2229139.79,69794.85,201129.69,331346.73,126091.11,247049.81,75315.16,411398.78,288141.65,235144.38,434806.32,42799.65,240379.00,321602.65,94608.99,41146.90,596198.15,75507.24,159327.09,7974.06,144540.11,1155191.33,859822.91,3754094.51,12193673.62,1290749.67,70732.87,160436.66,946514.85,485663.44,4032148.38,99110.27,253886.07,983990.71,208142.08,2320489.05,339168.67,353094.25,1785935.24,476897.93,624451.88,271589.68,43214.19,347431.87,102258.99,48888.78,42455.37,105681.79,445600.71,867342.47,783124.03,1512270.74,146305.41,139780.84,398846.03,153693.73,207331.18,502703.24,0.00,45773225.96,39221094.48,0.00,0.00,0.00,84994320.45
Urun_45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87465958.71,0.00,0.00,0.00,87465958.71
Urun_46,2394.96,2975.40,8938.28,223171.16,456958.69,710662.18,81165.93,142412.60,173979.48,146782.91,355273.61,111481.95,262698.64,298061.43,235139.04,345547.82,49804.62,270562.48,251026.61,273329.44,41916.69,277195.15,89035.07,344185.60,27723.46,67622.81,1547862.47,745362.68,1633542.71,1974732.93,708406.68,54267.88,95619.19,255211.35,51626.82,560865.78,56371.75,61177.47,343718.43,228110.53,1479448.19,118916.94,151377.71,122009.36,41497.48,809979.63,257355.24,23324.59,240539.67,104837.13,40954.22,33662.67,137651.52,314718.68,763898.61,114038.08,1023690.58,20830.93,41885.60,140501.41,453459.63,89418.01,420266.12,0.00,20511184.70,3282846.15,0.00,0.00,17967.30,23811998.16
Urun_47,3414.97,2252.30,0.00,154818.46,37825.16,54823.15,18006.85,18894.83,1510.07,9515.82,28273.28,208.84,28017.00,33536.48,18927.65,40724.95,17619.31,32878.91,34000.24,34619.08,48267.75,24226.94,61123.25,46983.43,24516.95,11649.77,5520883.34,43606.80,267274.45,593073.48,502302.96,5258.03,316.76,4913.86,4337.09,70329.84,20884.09,4266.34,45110.04,3883.54,0.00,11905.79,1135.46,170647.95,185932.73,214123.99,1532871.65,1.92,4637.08,23331.03,4600.27,93.06,5120.10,51633.50,625867.33,17687.14,38759.67,31569.33,4665.25,25371.53,154336.31,11408.32,22651.93,0.00,11011427.41,123602.48,0.00,2770620.81,64796.96,13970447.67
Urun_48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.80,0.00,711076.86,11407609.92,0.00,12118732.58
Urun_49,71.72,10940.15,1942.64,7179.73,943545.54,75054.44,903.68,173976.19,41859.06,27112.38,330264.60,57161.35,71475.21,109938.98,29493.14,43846.56,66303.52,446350.77,107240.57,138696.58,8917.76,114352.22,2146.36,16519.24,2111.91,11549.91,177066.42,471903.42,2348648.39,1174280.67,41991.50,1326.71,234848.01,21198.63,39995.91,216322.05,270039.45,290276.88,697264.83,387828.88,1049143.77,136364.67,52863.70,50719.39,25880.08,93326.38,35639.34,161.43,3194577.71,14590.50,15188.43,15212.23,178451.73,59820.76,181468.26,93430.59,151902.01,4796.52,431718.43,84290.43,202369.17,93915.10,248051.79,0.00,15625828.39,0.00,0.00,0.00,70152.13,15695980.52
Urun_50,548118.26,141.58,42.64,21136.67,34468.63,66333.29,2724.86,7329.88,2359.80,1544.35,50605.88,11515.13,25619.78,43730.72,22842.62,51894.63,11605.28,29875.88,17766.45,57341.24,2705.61,22747.12,7101.79,43078.31,20292.72,9239.54,159275.75,11847.88,263054.95,417453.72,14769.19,8340.73,4250.90,15729.43,7548.45,64530.50,17613.79,4768.99,20712.78,67006.29,96235.08,17104.70,225.33,52428.56,368.41,117337.21,174401.06,19057.03,15088.72,623943.24,380.13,3722.44,4420.10,26683.54,27344.37,19788.04,69123.32,770.36,134720.90,104719.62,74099.39,856.25,60.79,0.00,3771944.52,1391631.43,0.00,0.00,7347.21,5170923.16
Urun_51,9904.10,2957.29,413.16,320501.17,154942.42,110596.70,9634.41,36062.37,34813.93,8707.34,50789.56,122641.64,55655.36,192802.65,40486.32,71126.54,10914.93,71468.12,27339.09,53721.72,16360.00,35541.75,23526.68,93414.69,91539.93,125120.60,1474132.57,113901.57,790829.44,185625.45,581534.87,67186.59,264748.42,146409.19,149226.80,99704.97,20153.24,185640.72,325417.21,60980.22,60405.66,65269.83,24341.14,35285.18,0.00,151684.10,55558.08,11582.37,155196.78,7500.55,229887.75,6715.72,135291.31,121822.90,976782.15,94852.18,119748.58,7103.13,151456.68,26747.90,38572.30,10427.28,30309.00,0.00,8753014.30,1598384.30,0.00,0.00,52122.02,10403520.62
Urun_52,0.00,0.00,0.00,47195.38,50545.93,81767.64,4416.72,11870.38,9716.14,3995.07,15940.10,11216.95,84576.24,29776.97,50922.67,30430.45,4018.82,20265.23,23833.57,35117.82,10096.84,16652.72,3235.43,12422.87,8405.21,7109.30,109724.45,22894.09,150062.99,113467.45,46678.07,3237.83,49818.42,24353.16,52834.16,70295.71,3284.78,5192.64,25050.22,24013.45,6762.21,0.00,3730.17,6167.77,0.00,23862.97,16215.19,656.50,11130.65,1216.62,651.18,19848.20,4301.16,116039.77,13085.76,35526.76,321906.75,3950.63,2420.60,8000.65,38.46,15313.26,5960.36,0.00,1891221.49,0.00,0.00,0.00,5333.81,1896555.30
Urun_53,0.00,1.47,0.00,5281.22,19381.12,176.45,0.00,264.82,1047.64,212.94,13279.40,420.12,245.51,770.93,2883.13,3866.02,3886.90,2203.11,691.28,239.70,0.00,43096.39,2497.98,2715.58,0.00,782.37,9514.66,1793.04,8774.30,103866.15,7755.82,418.75,129727.22,17902.94,430.01,71868.78,43.88,5654.89,108.42,667.46,1563.61,2712.89,82.66,0.00,0.00,0.00,1959.64,0.11,2638.36,0.00,126.19,23.55,747693.37,13701.31,15368.85,160.41,387.50,30.37,21240.53,29799.08,0.00,0.00,53.67,0.00,1300012.47,14910242.07,0.00,0.00,1371161.08,17581415.62
Urun_54,293662.24,5299.20,813.80,159731.51,936914.38,720420.38,49444.47,85614.26,82787.96,31162.23,208930.88,428448.61,165373.53,336085.60,241667.11,298561.08,40103.10,229710.54,272791.66,335442.93,59079.49,186734.75,61517.12,368602.51,161395.99,1059491.61,1827029.14,282505.31,1542381.62,2306105.68,1046465.69,83601.41,101235.70,509003.75,161280.80,481307.60,116902.90,120858.13,1222714.45,104400.05,763158.01,84790.90,99922.79,1247737.06,1066044.87,323240.58,187104.93,3922.17,87241.21,143748.20,15650.66,29514.95,379110.90,1287177.23,4416544.51,1165338.51,2648602.16,186423.52,486073.13,434007.46,327068.86,65389.64,116811.53,0.00,32290202.95,4030453.85,0.00,0.00,116342.13,36436998.93
Urun_55,11479.34,0.00,0.00,6302.69,33327.99,15200.76,1235.83,3290.97,2788.42,2209.79,11199.56,2514.48,7185.56,10762.07,9427.68,29374.01,1313.77,3670.96,4194.97,8053.77,3910.81,11835.41,1155.64,75009.91,14618.85,2490.69,218920.34,7011.77,124734.58,323149.40,63710.48,1067.76,2760.19,3849.85,25545.40,14146.37,1903.46,4824.72,115048.82,2937.40,0.00,380988.65,51300.86,6370.95,0.00,6068.96,13100.33,3.59,1752.38,9177.28,1015.71,2.83,1722.21,8542.20,490661.52,10414.91,84679.10,48.81,8126.63,68715.44,14494.18,813.40,523.10,0.00,2340687.49,4845973.22,84191851.60,0.00,0.00,91378512.31
Urun_56,1253.22,427.71,23.92,10019.90,37997.31,13351.61,620.59,9829.69,1329.31,6677.55,10970.30,21809.26,11019.43,12588.22,10025.20,10140.18,9630.37,26354.00,14234.60,58316.70,3911.95,6484.53,3607.43,8987.67,1565.80,2571.71,12138.31,33544.55,120170.78,64262.92,28483.05,2630.67,89329.62,11520.01,3034.51,15633.64,3733.25,1694.33,20292.57,17821.31,178819.97,8410.23,85365.95,6656.69,4770.11,79092.99,86651.34,2689.61,12712.35,8870.19,284.48,429.15,118.71,56586.76,1232186.79,813088.47,29932.59,14160.42,12124.27,30357.99,51601.22,1018.77,908.98,0.00,3434875.73,16781299.04,52043951.03,0.00,0.00,72260125.80
Urun_57,0.00,0.00,0.00,0.00,0.00,2326.36,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2664.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12835.70,11787.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12270.80,0.00,4398364.14,0.00,0.00,17557.60,32450.33,0.00,0.00,0.00,4490258.29,10541538.81,52558805.11,0.00,111910.33,67702512.54
Urun_58,0.00,0.00,0.00,0.00,1003.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.43,33.05,0.00,0.00,0.00,1055.02,2838947.68,1112955.41,0.00,0.00,3952958.11
Urun_59,282.73,46.75,0.00,101.97,4026.01,955.71,0.00,384.57,0.00,0.00,4411.16,0.00,4521.57,5455.82,0.00,164.58,483.37,1927.33,28.93,2100.11,0.00,1265.23,603.86,3651.15,0.00,0.00,277.01,413.12,6303.49,1504.06,18294.16,0.00,0.00,5.34,1814.35,132065.43,0.00,233391.70,0.00,1147.95,0.00,4933.99,0.00,6584.11,0.00,2446.16,0.00,0.00,219.80,0.00,0.00,0.00,53121.08,35966.67,6242.89,9809.16,23492.26,66.44,1228000.14,19421.85,387.21,0.00,0.00,0.00,1816319.21,9492947.15,2125491.69,260435.17,3024.09,13698217.32
