index,Sek_1,Sek_2,Sek_3,Sek_4,Sek_5,Sek_6,Sek_7,Sek_8,Sek_9,Sek_10,Sek_11,Sek_12,Sek_13,Sek_14,Sek_15,Sek_16,Sek_17,Sek_18,Sek_19,Sek_20,Sek_21,Sek_22,Sek_23,Sek_24,Sek_25,Sek_26,Sek_27,Sek_28,Sek_29,Sek_30,Sek_31,Sek_32,Sek_33,Sek_34,Sek_35,Sek_36,Sek_37,Sek_38,Sek_39,Sek_40,Sek_41,Sek_42,Sek_43,Sek_44,Sek_45,Sek_46,Sek_47,Sek_48,Sek_49,Sek_50,Sek_51,Sek_52,Sek_53,Sek_54,Sek_55,Sek_56,Sek_57,Sek_58,Sek_59,Sek_60,Sek_61,Sek_62,Sek_63,Sek_64,Toplam Uretim,İthalat,Toplam Arz
Urun_24,0.00,0.00,0.00,0.00,667.96,2079.96,2663.40,48463.19,0.00,0.00,128925.10,0.00,0.00,0.00,344511.77,0.00,0.00,0.00,0.00,0.00,450.23,0.00,0.00,120653754.25,0.00,13268.34,19862.78,0.00,115.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175589.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,432271.28,0.00,0.00,0.00,0.00,6336.99,0.00,0.00,0.00,0.00,121828960.39,461960.67,122290921.05
Urun_25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2982.13,0.00,0.00,0.00,0.00,0.00,0.00,67.18,0.00,0.00,0.00,7103529.82,3246.25,0.00,0.00,0.12,16.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74514.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3909921.64,0.00,0.00,0.00,0.00,1088.79,0.00,0.00,0.00,0.00,11095367.15,0.00,11095367.15
Urun_26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,935.77,8582.33,0.00,8624.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220719.26,21459594.67,2596.97,0.00,750.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1663.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17811.34,75174.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21796453.12,17786046.31,39582499.43
Urun_27,0.00,0.00,0.00,7274.22,0.00,10547.22,23872.21,0.00,0.00,0.00,16850.20,0.00,30011.36,517235.17,0.00,398363.00,1394.85,456934.93,8412.79,0.00,13003.12,0.00,16112.47,7578.20,0.00,12922.66,294328310.67,48853.09,697871.79,264888.83,231450.81,171.44,0.00,9987.36,254.33,14767.11,0.00,0.00,125118.81,318.28,0.00,0.00,0.00,9024.27,0.00,0.00,194268.24,0.00,0.00,0.00,31267.07,0.00,0.00,62202.72,299993.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,297839261.15,617096.75,298456357.90
Urun_28,0.00,0.00,0.00,3303.44,386.19,3521.61,0.00,0.00,0.00,110495.85,356.09,0.00,218275.76,1416.99,112869.08,2133.44,52044.72,5377.51,371561.99,803366.19,10192.37,13.03,17088.11,0.00,0.00,980.80,57866.85,29762473.44,291716.10,248211.43,3064.87,0.00,0.00,20929.81,0.00,113.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60435.05,0.00,0.00,0.00,24144.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32182337.94,0.00,32182337.94
Urun_29,0.00,0.00,0.00,391731.84,1702452.94,1301063.28,144612.87,381888.01,39946.71,386145.43,604637.76,423545.22,287140.69,393899.61,472357.44,627945.48,260347.54,440142.29,874940.50,273574.70,34984.50,439172.82,20600.13,27.12,1172.56,57671.45,2011063.07,171811.37,103621910.76,3867217.58,30588.16,767.03,1659.79,2319.46,0.00,6420.01,275397.98,3705.10,1755.39,190473.15,0.00,0.00,0.00,60114.18,0.00,5.97,69055.65,29.21,27445.49,100708.39,7719.33,814.13,50.27,41198.13,0.00,16767.73,2031.70,438.12,3472.04,687.89,0.00,7298.36,31.82,0.00,120082958.16,0.00,120082958.16
Urun_30,0.00,0.00,0.00,557.76,37158.43,370555.25,11654.43,312.68,309.80,0.00,36291.68,0.00,48886.85,31838.14,84.31,71677.04,933.48,529012.38,7096.96,0.00,17.47,61861.10,63477.71,983.48,935.52,1591.33,454800.78,24204.32,1368616.03,132847634.39,5491.74,1824.18,533.54,14005.71,0.00,151457.44,19365.98,24028.88,71967.05,3899.76,0.00,0.00,0.00,0.00,0.00,1005.48,5599.93,0.00,7275.22,2702.38,3339.13,425.78,864.06,42205.14,0.00,23258.90,1646.02,28.46,7156.41,6604.76,0.00,13203.55,752.32,0.00,136379133.10,0.00,136379133.10
Urun_31,0.00,0.00,0.00,122639.63,31242.68,106.23,24189.89,725.86,0.00,4585.82,82955.16,0.00,1919.07,46649.52,8274.35,4250.86,0.00,2504.33,17943.58,0.00,30.41,4562.12,231.63,0.00,2675.05,46154.09,253977.13,38850.51,1294313.73,639063.06,192778417.18,11189.86,2026.27,1112213.66,62748.56,22374.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1341.40,0.00,0.00,0.00,0.00,403755.70,0.00,6822.97,0.00,6680.86,149015.79,985047.09,2609.12,0.00,1781.68,0.00,0.00,0.00,7652.90,0.00,0.00,198181521.79,394078.26,198575600.05
Urun_32,0.00,0.00,0.00,40821.60,0.00,0.00,0.00,0.00,0.00,57230.94,0.00,0.00,0.00,15775.46,0.00,74.01,0.00,0.00,0.00,0.00,15177.44,0.00,0.00,0.00,0.00,0.00,365.32,0.00,326803.57,0.00,990639.81,14801834.72,19760.98,2491207.07,0.00,12512.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.95,0.00,14290.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3714.26,0.00,0.00,18790366.75,137233.07,18927599.83
Urun_33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3805.52,0.00,0.00,0.00,0.00,0.00,31921.07,0.00,1482.83,0.00,21936943.07,182334.43,189588.21,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8430.19,5263.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22359773.56,566052.46,22925826.02
