"SIRA","SEKTÖR KISLATMA","SEKTÖR KODU","SEKTÖRLER","SECTORS","SEKTÖR TOPLULAŞTIRMA","ÜRÜN KISLATMA","ÜRÜN KODU","ÜRÜNLER","PRODUCTS","ÜRÜN TOPLULAŞTIRMA"
"40","Sek_40","J62_J63","Bilgisayar programlama, danışmanlık ve ilgili faaliyetler; bilgi hizmet faaliyetleri","Computer programming, consultancy, and information service activities","TİCARET VE HİZMET","Urun_40","J62_J63","Bilgisayar programlama, danışmanlık ve ilgili hizmetler; bilgi hizmetleri","Computer programming, consultancy and related services; Information services","TİCARET VE HİZMET"
"41","Sek_41","K64","Finansal hizmet faaliyetleri (Sigorta ve emeklilik fonları hariç)","Financial service activities, except insurance and pension funding","TİCARET VE HİZMET","Urun_41","K64","Finansal hizmetler (sigorta ve bireysel emeklilik hariç)","Financial services, except insurance and pension funding","TİCARET VE HİZMET"
"42","Sek_42","K65","Sigorta, reasürans ve emeklilik fonları (Zorunlu sosyal güvenlik hariç)","Insurance, reinsurance and pension funding, except compulsory social security","TİCARET VE HİZMET","Urun_42","K65","Sigorta, reasürans ve emeklilik fonları hizmetleri, zorunlu sosyal güvenlik hariç","Insurance, reinsurance and pension funding services, except compulsory social security","TİCARET VE HİZMET"
"43","Sek_43","K66","Finansal hizmetler ile sigorta faaliyetleri için yardımcı faaliyetler","Activities auxiliary to financial services and insurance activities","TİCARET VE HİZMET","Urun_43","K66","Finansal hizmetler ile sigorta hizmetlerine yardımcı hizmetler","Services auxiliary to financial services and insurance services","TİCARET VE HİZMET"
"44","Sek_44","L68B","Gayrimenkul faaliyetleri","Real estate activities excluding imputed rents","TİCARET VE HİZMET","Urun_44","L68B","Gayrimenkul hizmetleri","Real estate services excluding imputed rents","TİCARET VE HİZMET"
"45","Sek_45","L68A","Kendi konutunda ikamet edenler için izafi kira","Imputed rents of owner-occupied dwellings","TİCARET VE HİZMET","Urun_45","L68A","Kendi konutunda ikamet edenler için izafi kira","Imputed rents of owner-occupied dwellings","TİCARET VE HİZMET"
"46","Sek_46","M69_M70","Hukuk ve muhasebe faaliyetleri; idare merkezi faaliyetleri; idari danışmanlık faaliyetleri","Legal and accounting activities; activities of head offices; management consultancy activities","TİCARET VE HİZMET","Urun_46","M69_M70","Hukuk ve muhasebe hizmetleri; idare merkezi hizmetleri; idari danışmanlık hizmetleri","Legal and accounting services;Services of head offices; management consulting services","TİCARET VE HİZMET"
"47","Sek_47","M71","Mimarlık ve mühendislik faaliyetleri; teknik test ve analiz faaliyetleri","Architectural and engineering activities; technical testing and analysis","TİCARET VE HİZMET","Urun_47","M71","Mimarlık ve mühendislik hizmetleri; teknik test ve analiz hizmetleri","Architectural and engineering services; technical testing and analysis services","TİCARET VE HİZMET"
"48","Sek_48","M72","Bilimsel araştırma ve geliştirme faaliyetleri","Scientific research and development","TİCARET VE HİZMET","Urun_48","M72","Bilimsel araştırma ve geliştirme hizmetleri","Scientific research and development services","TİCARET VE HİZMET"
"49","Sek_49","M73","Reklamcılık ve piyasa araştırması","Advertising and market research","TİCARET VE HİZMET","Urun_49","M73","Reklamcılık ve pazar araştırması hizmetleri","Advertising and market research services","TİCARET VE HİZMET"
"50","Sek_50","M74_M75","Diğer mesleki, bilimsel ve teknik faaliyetler; veterinerlik hizmetleri","Other professional, scientific and technical activities; veterinary activities","TİCARET VE HİZMET","Urun_50","M74_M75","Diğer mesleki, bilimsel ve teknik hizmetler; veterinerlik hizmetleri","Other professional, scientific and technical services and veterinary services","TİCARET VE HİZMET"
"51","Sek_51","N77","Kiralama ve leasing faaliyetleri","Rental and leasing activities","TİCARET VE HİZMET","Urun_51","N77","Kiralama ve leasing hizmetleri
","Rental and leasing services","TİCARET VE HİZMET"
"52","Sek_52","N78","İstihdam faaliyetleri","Employment activities","TİCARET VE HİZMET","Urun_52","N78","İstihdam hizmetleri","Employment services","TİCARET VE HİZMET"
"53","Sek_53","N79","Seyahat acentesi, tur operatörü ve diğer rezervasyon hizmetleri ve ilgili faaliyetler","Travel agency, tour operator reservation service and related activities","TİCARET VE HİZMET","Urun_53","N79","Seyahat acentesi, tur operatörü, diğer rezervasyon hizmetleri ve ilgili hizmetler","Travel agency, tour operator and other reservation services and related services","TİCARET VE HİZMET"
"54","Sek_54","N80-N82","Güvenlik ve soruşturma faaliyetleri; binalar ile ilgili hizmetler ve çevre düzenlemesi faaliyetleri; büro yönetimi, büro destek ve iş destek faaliyetleri","Security and investigation, service and landscape, office administrative and support activities","TİCARET VE HİZMET","Urun_54","N80-N82","Güvenlik ve soruşturma hizmetleri; bina ve çevre düzenleme (peyzaj) hizmetleri; büro yönetimi, büro destek ve diğer iş destek hizmetleri","Security and investigation services; services to buildings and landscape; office administrative, office support and other business support services","TİCARET VE HİZMET"
"55","Sek_55","O84","Kamu yönetimi ve savunma; zorunlu sosyal güvenlik","Public administration and defence; compulsory social security","TİCARET VE HİZMET","Urun_55","O84","Kamu yönetimi ve savunma hizmetleri; zorunlu sosyal güvenlik hizmetleri","Public administration and defence services; compulsory social security services","TİCARET VE HİZMET"
"56","Sek_56","P85","Eğitim","Education","TİCARET VE HİZMET","Urun_56","P85","Eğitim hizmetleri
","Education services","TİCARET VE HİZMET"
"57","Sek_57","Q86","İnsan sağlığı hizmetleri","Human health activities","TİCARET VE HİZMET","Urun_57","Q86","İnsan sağlığı hizmetleri","Human health services","TİCARET VE HİZMET"
"58","Sek_58","Q87_Q88","Yatılı bakım faaliyetleri; barınacak yer sağlanmaksızın verilen sosyal hizmetler","Residential care activities and social work activities without accommodation","TİCARET VE HİZMET","Urun_58","Q87_Q88","Yatılı bakım hizmetleri; barınacak yer sağlanmaksızın verilen sosyal hizmetler","Residential care services; social work services without accommodation","TİCARET VE HİZMET"
"59","Sek_59","R90-R92","Yaratıcı sanatlar, gösteri sanatları ve eğlence faaliyetleri; kütüphaneler, arşivler, müzeler ve diğer kültürel faaliyetler","Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities","TİCARET VE HİZMET","Urun_59","R90-R92","Yaratıcı sanatlar, gösteri sanatları ve eğlence hizmetleri; kütüphane, arşiv, müze ve diğer kültürel hizmetler; kumar ve müşterek bahis hizmetleri","Creative, arts, entertainment, library, archive, museum, other cultural services; gambling and betting services","TİCARET VE HİZMET"
"60","Sek_60","R93","Spor faaliyetleri, eğlence ve dinlence faaliyetleri","Sports activities and amusement and recreation activities","TİCARET VE HİZMET","Urun_60","R93","Spor hizmetleri ile eğlence ve dinlence hizmetleri
","Sporting services and amusement and recreation services","TİCARET VE HİZMET"
"61","Sek_61","S94","Üye olunan kuruluşların faaliyetleri","Activities of membership organisations","TİCARET VE HİZMET","Urun_61","S94","Üye olunan kuruluşlar tarafından verilen hizmetler","Services furnished by membership organisations","TİCARET VE HİZMET"
"62","Sek_62","S95","Bilgisayarların, kişisel eşyaların ve ev eşyalarının onarımı","Repair of computers and personal and household goods","TİCARET VE HİZMET","Urun_62","S95","Bilgisayarların, kişisel eşyaların ve ev eşyalarının onarımına ilişkin hizmetler","Repair services of computers and personal and household goods","TİCARET VE HİZMET"
"63","Sek_63","S96","Diğer hizmet faaliyetleri","Other personal service activities","TİCARET VE HİZMET","Urun_63","S96","Diğer kişisel hizmetler","Other personal services","TİCARET VE HİZMET"
"64","Sek_64","T","Ev içi çalışan personelin işverenleri olarak hanehalklarının faaliyetleri","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","TİCARET VE HİZMET","Urun_64","T","Ev içi çalışan personelin işverenleri olarak hanehalklarının hizmetleri","Services of households as employers; undifferentiated goods and services produced by households for own use","TİCARET VE HİZMET"
