;Sek_1;Sek_2;Sek_3;Sek_4;Sek_5;Sek_6;Sek_7;Sek_8;Sek_9;Sek_10;Sek_11;Sek_12;Sek_13;Sek_14;Sek_15;Sek_16;Sek_17;Sek_18;Sek_19;Sek_20;Sek_21;Sek_22;Sek_23;Sek_24;Sek_25;Sek_26;Sek_27;Sek_28;Sek_29;Sek_30;Sek_31;Sek_32;Sek_33;Sek_34;Sek_35;Sek_36;Sek_37;Sek_38;Sek_39;Sek_40;Sek_41;Sek_42;Sek_43;Sek_44;Sek_45;Sek_46;Sek_47;Sek_48;Sek_49;Sek_50;Sek_51;Sek_52;Sek_53;Sek_54;Sek_55;Sek_56;Sek_57;Sek_58;Sek_59;Sek_60;Sek_61;Sek_62;Sek_63;Sek_64;EMEK;SERMAYE;GELİR VERGİSİ;SEKTÖR ÜRÜN VERGİ;ÜRETİM VERGİ;ÜRETİM SÜBVANSİYON;HANEHALKI;DEVLET;YATIRIM;DIŞ DÜNYA (İHRACAT);TOPLAM
Sek_58;105,59;12,74;2,18;172,45;1.634,21;391,13;29,05;142,45;42,13;93,28;197,22;324,19;194,05;243,83;241,06;268,21;120,48;403,15;279,38;750,04;70,17;152,67;80,09;175,07;44,12;231,42;821,69;474,71;2.069,62;1.340,66;921,85;45,45;1.007,35;254,34;77,93;525,05;72,7;58,79;453,52;246,45;2.155,75;128,48;947,45;304,99;240,52;955,37;1.009,48;39,46;182,32;128,51;8,08;14,84;1.630,36;944,26;14.071,68;8.965,94;1.993,62;206,49;233,48;451,84;701,27;39,25;47,17; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2.856.483,71;1.572.867,31;337,08;1.056,06;4.480.915,19
Sek_59;4.000,15;77,2;8,2;1.655,89;6.907,60;3.644,65;194,08;1.020,54;378,46;147,04;5.532,40;943,68;5.233,26;6.994,30;783,74;1.382,22;976,77;3.452,92;946,18;3.309,36;185,68;2.285,32;840,38;4.707,65;611,8;1.468,35;9.184,71;3.019,72;16.237,20;11.744,60;21.810,76;475,83;1.242,10;1.476,28;2.724,74;132.365,47;2.242,00;232.422,77;4.710,16;3.053,40;3.308,70;5.785,84;899,64;8.293,07;903,03;4.485,39;1.700,23;176,47;10.739,83;3.971,56;892,53;132,13;54.812,19;37.443,28;15.942,34;14.349,58;27.233,49;325,17;1.254.571,93;20.378,10;1.492,58;175,5;459,13; -   ; -   ; -   ; -   ; -   ; -   ; -   ;10.113.673,54;2.118.934,08;264.025,34;6.360,02;14.471.862,21
Sek_60;516,37;45,14;11,68;3.557,32;51.780,04;1.626,81;118,83;11.001,68;1.618,70;5.945,70;10.140,59;7.265,30;4.992,27;4.422,38;3.143,55;9.743,55;1.368,91;2.711,58;2.979,19;7.372,59;745,5;4.601,46;289,67;3.774,83;245,87;1.509,32;5.427,10;14.743,78;108.846,57;61.687,00;3.821,86;9.100,80;14.262,35;3.156,64;1.798,11;28.189,73;4.196,50;139.108,91;119.295,43;13.662,93;1.618,27;592,21;297,77;2.688,09;1.212,63;11.129,14;4.059,32;46,89;302.956,78;1.190,39;590,75;291,66;6.438,38;5.110,03;19.172,51;7.764,38;37.824,92;376,75;276.081,63;362.905,73;807,62;138,3;209,96; -   ; -   ; -   ; -   ; -   ; -   ; -   ;4.983.910,77;2.419.178,60;1.792,63;10.885,17;9.128.097,79
Sek_61;78.998,75;71,39;58,75;7.173,97;47.897,88;63.094,43;3.456,82;9.213,39;8.131,73;19.562,38;16.680,29;4.956,31;15.473,20;18.958,28;37.079,17;50.596,39;2.310,44;16.916,98;20.203,51;21.911,70;2.716,13;21.869,22;7.509,79;12.365,49;24.501,66;5.065,14;49.531,67;59.416,05;226.529,26;515.390,10;218.270,91;3.477,66;13.670,26;71.935,79;10.243,61;103.281,35;3.448,82;10.417,43;33.217,66;5.860,74;109.292,46;10.981,54;34.422,43;29.311,74;6.973,51;67.273,40;46.140,58;1.130,75;11.056,58;17.603,03;2.810,23;4.564,15;338.990,33;16.061,45;21.579,55;23.559,61;31.830,28;2.997,78;2.996,68;13.453,97;567.633,49;18.635,83;13.102,55; -   ; -   ; -   ; -   ; -   ; -   ; -   ;3.380.918,48;4.551.341,96; -   ; -   ;11.166.126,88
Sek_62;1.284,21;598,76;118,01;7.931,29;52.164,90;71.472,04;8.806,95;9.908,81;5.401,00;297,47;22.221,01;4.329,01;28.089,42;19.170,98;14.704,90;23.643,98;1.453,17;15.002,52;12.593,90;30.095,96;3.028,58;10.950,63;1.856,29;28.105,29;1.561,53;2.415,99;41.771,30;11.328,50;205.342,84;157.840,69;20.657,82;12.907,35;6.973,25;21.994,26;3.283,71;77.401,52;1.997,13;2.112,30;67.324,91;51.817,94;1.884,25;8.220,31;11.553,91;7.476,67;1.650,88;15.451,11;7.000,16;364,49;9.509,33;2.941,58;4.332,44;146,08;6.804,27;9.462,07;10.190,73;14.424,68;59.822,20;4.926,21;1.532,10;10.902,68;29.243,03;46.368,01;33.449,91; -   ; -   ; -   ; -   ; -   ; -   ; -   ;6.945.272,03;490,28;20.532,55;3.766,67;8.327.678,74
Sek_63;477,37;59,65;2.853,04;232,71;1.341,26;4.228,08;73,19;1.143,69;115,3;48,88;772,75;574,3;7.560,47;474,32;380,67;424,41;59,77;331,41;383,27;484,74;85,21;276,59;95,39;564,96;220,52;1.437,57;2.755,94;60.191,95;2.251,11;11.847,99;9.206,68;123,42;140,88;690,89;220,47;49.519,85;181,09;7.762,79;1.672,25;259,99;1.173,53;218,63;139,87;1.667,63;1.412,71;483,02;276,07;9,32;147,39;281,34;23,63;42,73;616,51;4.129,33;7.909,98;1.559,90;17.612,84;249,72;1.020,52;3.804,55;94.141,68;106,33;7.704,58; -   ; -   ; -   ; -   ; -   ; -   ; -   ;12.608.425,71;16.526,03;1.602,65;1.359,86;12.944.170,89
Sek_64; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;781.733,27; -   ; -   ; -   ;781.733,27
EMEK;3.783.047,14;496.878,15;212.858,76;4.791.290,44;12.133.189,12;19.542.182,60;1.162.293,91;1.631.742,88;1.279.658,75;683.754,87;2.713.290,18;1.951.392,89;4.912.340,63;6.104.529,11;5.078.089,22;6.617.976,21;1.215.552,34;4.656.081,98;5.109.876,32;5.997.340,33;1.442.910,68;4.425.259,25;1.378.047,33;3.587.281,60;1.219.840,49;2.483.815,86;30.121.344,44;5.030.040,42;24.179.662,65;25.659.691,17;11.491.306,99;1.114.685,58;3.174.714,52;5.041.930,21;2.349.418,87;17.395.311,36;1.129.171,46;1.826.912,19;4.017.593,95;3.362.182,15;15.693.023,38;1.289.119,45;2.819.671,33;2.088.811,20; -   ;4.977.628,97;3.004.285,47;274.513,79;2.241.287,05;272.743,26;316.910,01;821.368,73;919.082,44;15.267.159,92;60.276.920,85;45.608.649,44;29.446.534,07;1.178.690,22;1.499.887,39;2.328.305,34;5.125.426,08;882.486,80;959.043,05;781.733,27; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;438.577.768,51
SERMAYE;114.496.119,39;3.089.554,16;2.676.684,44;12.293.387,04;29.595.231,12;29.898.497,01;2.847.514,31;3.807.064,09;2.133.242,08;2.604.597,88;9.614.489,84;1.489.224,81;6.575.200,03;12.500.836,40;10.050.218,26;12.468.974,59;1.781.378,81;4.415.656,87;6.698.708,37;6.720.047,66;1.911.494,74;10.087.820,46;4.778.750,33;17.307.772,93;3.490.520,62;8.156.865,01;86.072.244,35;11.862.957,06;45.166.542,45;63.316.724,45;85.696.185,03;5.599.010,22;2.420.337,85;8.935.241,50;1.784.879,57;24.302.660,78;1.769.157,22;1.693.620,51;14.805.857,11;8.697.361,23;22.162.557,39;1.539.781,74;2.448.434,03;59.495.515,34;72.328.658,94;12.738.208,18;4.906.818,50;90.349,51;2.467.615,51;1.899.811,43;3.950.349,95;854.268,48;4.474.238,60;10.246.145,68;12.957.658,42;16.311.129,82;8.989.779,40;1.733.802,07;7.984.279,25;1.508.367,89;1.623.370,95;3.346.248,73;4.278.320,12; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;941.948.340,51
GELİR VERGİSİ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
SEKTÖR ÜRÜN VERGİ;-397.746,00;42.997,04;-168.296,71;10.797.961,70;27.852.552,75;4.471.655,32;488.987,05;1.283.148,95;126.728,36;43.504.393,07;6.270.851,70;1.570.675,15;1.079.523,35;1.362.396,03;7.660.552,45;1.760.707,17;3.318.900,16;3.940.152,96;2.660.187,91;13.292.833,14;1.843.266,20;2.988.291,56;80.149,70;3.239.658,32;182.518,57;2.166.204,99;6.766.562,23;417.850,98;1.680.980,55;516.505,33;1.802.295,53;46.715,58;1.519.167,69;131.154,92;344.742,69;3.930.415,37;457.974,47;133.543,70;7.224.719,95;72.821,22;8.461.794,02;2.195.682,09;235.673,16;288.087,54; -   ;841.861,55;144.214,11;188,3;407.788,05;38.969,74;28.118,69;11.025,47;1.113.933,25;582.504,10;459.499,78;357.247,90;813.793,19;75.881,50;695.250,83;314.885,68;4.281,68;296.365,54;427.599,11; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;184.259.346,41
ÜRETİM VERGİ;186,26;2.333,05;2.361,76;64.585,60;205.452,33;208.958,26;19.328,06;25.444,37;15.209,64;27.973,17;58.201,53;40.841,50;60.941,69;125.280,17;128.177,71;80.564,10;10.045,06;47.849,07;57.952,58;73.935,97;21.718,35;47.697,36;17.256,86;189.728,32;5.276,47;23.540,07;1.239.553,17;146.423,72;472.845,09;489.012,30;544.058,00;197.418,12;69.867,12;87.021,36;16.865,80;236.394,96;8.729,03;70.387,13;363.371,28;18.888,28;1.882.575,10;10.844,46;13.464,42;60.396,69;1.485.948,03;71.760,71;338.654,03;2.792,92;21.421,77;9.970,46;96.916,43;2.715,28;39.847,41;70.449,03;677.433,79;35.129,93;139.990,06;3.398,92;4.659,37;11.471,29;14.174,72;15.106,93;34.325,86; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;10.565.122,28
ÜRETİM SÜBVANSİYON;-3.067.130,60; -   ; -   ;-31.798,68;-10.820,31;-4.718,71;-401,15;-659,17;-307,2;-1.760,21;-1.507,17;-348,28;-1.624,90;-1.709,23;-3.734,70;-1.709,31;-352,17;-1.561,47;-1.333,05;-2.347,61;-267,65;-991,5;-214,2; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-792.732,87; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-1.745.182,88; -   ; -   ; -   ; -   ; -   ; -   ;-5.250,00; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;-5.678.463,02
HANEHALKI; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
DEVLET; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
TASARRUF; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
DIŞ DÜNYA (İTHALAT);11.383.441,24;75.864,78;183.303,84;6.878.747,44;20.476.861,53;25.839.680,36;1.878.702,17;5.383.613,37;1.672.277,03;35.717.960,91;15.354.977,91;7.047.523,78;14.307.809,48;6.130.712,06;45.631.910,06;12.093.676,25;15.122.271,36;18.648.695,06;30.192.342,26;36.455.739,21;8.429.192,74;10.336.369,50;1.882.806,30;27.543.241,27;234.965,39;3.045.574,14;21.742.653,80;2.670.083,71;6.294.301,49;4.542.227,40;14.040.981,88;1.268.532,56;3.495.043,86;1.304.181,04;324.649,30;3.971.699,26;717.839,30;913.750,41;733.749,24;324.656,56;784.259,08;1.154.430,69;121.219,81;3.370.194,63;1.830.046,50;423.195,70;723.128,38;94.611,04;852.534,87;364.320,92;167.666,21;21.033,74;1.402.401,16;1.299.485,38;3.913.342,64;773.261,22;3.760.277,37;141.290,33;248.077,47;350.040,76;320.190,25;880.509,90;1.036.835,96; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;448.324.963,27
TOPLAM;188.773.941,06;4.307.948,67;3.799.255,91;45.173.484,27;184.867.389,51;162.637.486,82;12.558.265,37;20.497.088,59;9.408.458,41;93.942.856,07;50.520.264,81;15.757.206,81;46.415.088,14;53.502.667,55;119.129.137,31;56.557.477,53;25.413.512,60;53.536.568,04;61.112.288,85;92.590.476,80;16.469.431,59;48.600.370,22;12.929.176,98;124.831.015,13;7.606.010,53;24.119.552,23;316.278.317,84;31.421.117,56;124.746.863,78;144.131.472,32;199.767.174,82;15.282.071,27;23.642.042,55;26.055.760,19;8.291.550,50;88.083.437,73;7.115.182,41;9.191.131,54;40.543.177,75;15.509.908,44;64.062.242,48;12.874.871,04;7.862.893,44;80.239.188,59;87.465.958,67;24.397.704,25;14.342.739,61;832.546,60;16.513.976,49;4.808.892,92;5.803.478,10;2.104.037,54;18.529.379,15;34.845.659,06;113.513.220,37;74.239.823,97;67.969.769,09;4.480.915,13;14.471.862,22;9.128.097,89;11.166.126,82;8.327.678,77;12.944.170,90;781.733,27; -   ; -   ; -   ; -   ; -   ; -   ;1.025.098.745,96;223.401.702,48;444.282.343,87;325.214.285,85;5.294.819.673,05
